From	Entry
CHEMBL4780	P04058
CHEMBL2414	P51679
CHEMBL2326	P43166
CHEMBL2096912	Q61239
CHEMBL2096912	Q8K2I1
CHEMBL1899	P46098
CHEMBL2140	P48775
CHEMBL3085613	P0C559
CHEMBL219	P21917
CHEMBL2283	P00921
CHEMBL2000	P03952
CHEMBL233	P35372
CHEMBL3429	P11474
CHEMBL2073	P07947
CHEMBL3471	Q7ZJM1
CHEMBL3023	Q9NRA0
CHEMBL2176771	P00746
CHEMBL5141	O43174
CHEMBL3247	P51639
CHEMBL5498	Q8VH26
CHEMBL4801	P29466
CHEMBL5366	Q9UGN5
CHEMBL2725	P05364
CHEMBL1907591	P30926
CHEMBL4123	P30989
CHEMBL3430892	P26012
CHEMBL2094135	Q8WW43
CHEMBL2094135	Q96BI3
CHEMBL205	P00918
CHEMBL3464	P29477
CHEMBL3478	Q28156
CHEMBL1829	O15379
CHEMBL260	Q16539
CHEMBL3024	P53350
CHEMBL4940	P07195
CHEMBL1835	P24557
CHEMBL2366517	Q9YQ12
CHEMBL1801	P00747
CHEMBL4683	Q12884
CHEMBL2431	P31751
CHEMBL3864	Q06124
CHEMBL3880	P07900
CHEMBL2955	O95136
CHEMBL252	P25101
CHEMBL2094128	P78396
CHEMBL1781	P11387
CHEMBL3137262	Q9UKL0
CHEMBL332	P03956
CHEMBL1293267	Q9HC97
CHEMBL5413	Q969F8
CHEMBL3142	P78527
CHEMBL1941	P25021
CHEMBL238	Q01959
CHEMBL3356	P05177
CHEMBL1822	P20839
CHEMBL3912	Q8N1Q1
CHEMBL275	Q07343
CHEMBL4465	O75908
CHEMBL4860	P10415
CHEMBL1795101	Q9JN24
CHEMBL2830	P15381
CHEMBL3385	P27361
CHEMBL4685	P14902
CHEMBL4768	P23795
CHEMBL4508	Q16769
CHEMBL1907594	P30926
CHEMBL1977	P11473
CHEMBL3081	P16116
CHEMBL226	P30542
CHEMBL3012	Q13946
CHEMBL3797	Q13315
CHEMBL4398	P41231
CHEMBL222	P23975
CHEMBL255	P29275
CHEMBL315	P15823
CHEMBL5891	O60678
CHEMBL2424	Q04760
CHEMBL4699	O60725
CHEMBL2163176	P41229
CHEMBL1944495	P28065
CHEMBL246	P13945
CHEMBL248	P08246
CHEMBL3535	O76083
CHEMBL1798	Q9Y271
CHEMBL3780	P70605
CHEMBL2888	Q14832
CHEMBL3884	P31639
CHEMBL4625	Q07817
CHEMBL4777	P25929
CHEMBL4822	P56817
CHEMBL284	P27487
CHEMBL325	Q13547
CHEMBL4077	Q01727
CHEMBL1795139	Q8IU80
CHEMBL2288	Q13526
CHEMBL3933	P70263
CHEMBL3807	P17706
CHEMBL2208	P49137
CHEMBL278	P13612
CHEMBL5896	O75164
CHEMBL3649	P80457
CHEMBL5062	O19045
CHEMBL3632452	Q9UDY8
CHEMBL4086	P43114
CHEMBL4430	P11715
CHEMBL2035	P08912
CHEMBL3594	Q16790
CHEMBL1942	P18089
CHEMBL4644	P41968
CHEMBL1795117	Q8TEK3
CHEMBL2002	P12268
CHEMBL1929	P47989
CHEMBL1906	P04049
CHEMBL4018	P49146
CHEMBL2169736	O95551
CHEMBL3959	P16083
CHEMBL3199	P37136
CHEMBL1163125	O60885
CHEMBL338	P23977
CHEMBL1867	P08913
CHEMBL1957	P08069
CHEMBL3313832	O94953
CHEMBL5979	P05186
CHEMBL4414	P46925
CHEMBL3060	Q9Y345
CHEMBL3815	Q02769
CHEMBL269	P33533
CHEMBL2617	Q15661
CHEMBL4601	Q13882
CHEMBL4040	P28482
CHEMBL4718	Q9BUB5
CHEMBL231	P35367
CHEMBL2056	P21728
CHEMBL4828	Q01827
CHEMBL2150837	Q6PL18
CHEMBL217	P14416
CHEMBL3797017	A5H660
CHEMBL1075269	Q61618
CHEMBL5023	Q00987
CHEMBL335	P18031
CHEMBL2069156	Q14145
CHEMBL1792	P35346
CHEMBL3157	P30411
CHEMBL1983	P28221
CHEMBL3922	P50579
CHEMBL213	P08588
CHEMBL3486	Q54A96
CHEMBL1825	P01375
CHEMBL299	P17252
CHEMBL2622	P07943
CHEMBL1901	P32238
CHEMBL2372	P22734
CHEMBL402	P04035
CHEMBL302	P30543
CHEMBL3286	P00749
CHEMBL4329	P33534
CHEMBL2902	P00381
CHEMBL1991	O14920
CHEMBL5568	P08922
CHEMBL1889	P37288
CHEMBL3403	Q9JKC1
CHEMBL333	P08253
CHEMBL3371	P50406
CHEMBL3776	Q14790
CHEMBL1849	P9WGR1
CHEMBL4608	P33032
CHEMBL4793	Q86TI2
CHEMBL228	P31645
CHEMBL4552	P16257
CHEMBL4618	P09960
CHEMBL224	P28223
CHEMBL321	P14780
CHEMBL235	P37231
CHEMBL2366504	Q76129
CHEMBL1827	O76074
CHEMBL5375	Q8JXU8
CHEMBL309	P10980
CHEMBL3108639	Q9BXF3
CHEMBL4523	Q9P1W9
CHEMBL4973	P43004
CHEMBL1841	P06241
CHEMBL2304404	P47745
CHEMBL2397	P11497
CHEMBL234	P35462
CHEMBL1898	P28222
CHEMBL3623	P15559
CHEMBL1075132	Q12931
CHEMBL242	Q92731
CHEMBL1075317	P61964
CHEMBL218	P21554
CHEMBL4204	Q9HBH9
CHEMBL4074	P12822
CHEMBL254	P27815
CHEMBL236	P41143
CHEMBL4062	P35750
CHEMBL2781	P19634
CHEMBL4588	P22894
CHEMBL2334	P42574
CHEMBL4478	Q00975
CHEMBL1250375	Q9NPH5
CHEMBL223	P25100
CHEMBL5373	P47936
CHEMBL4531	P17931
CHEMBL1966	Q02127
CHEMBL319	P43140
CHEMBL5017	O70528
CHEMBL2575	P00378
CHEMBL4607	P50052
CHEMBL311	Q00960
CHEMBL1968	P07099
CHEMBL5282	P11509
CHEMBL5113	O43613
CHEMBL2966	P56658
CHEMBL3004	P33527
CHEMBL3655	P00523
CHEMBL1628481	P35414
CHEMBL2487	P05067
CHEMBL2424504	P29375
CHEMBL1926	P16184
CHEMBL5077	Q9N1N9
CHEMBL5880	P60568
CHEMBL3072	P15207
CHEMBL2329	P22906
CHEMBL3714079	Q9NQS5
CHEMBL4078	O42275
CHEMBL2189121	P01116
CHEMBL264	Q9Y5N1
CHEMBL286	P00797
CHEMBL220	P22303
CHEMBL1821	P08173
CHEMBL287	Q99720
CHEMBL1255150	Q80SS6
CHEMBL2147	P11309
CHEMBL3459	P28564
CHEMBL1293197	Q9BZP6
CHEMBL1875	Q13639
CHEMBL4794	Q8NER1
CHEMBL245	P20309
CHEMBL3202	P48147
CHEMBL4653	P14740
CHEMBL280	P45452
CHEMBL3798	Q16602
CHEMBL1907596	P12390
CHEMBL326	P23944
CHEMBL244	P00742
CHEMBL1921666	P0A0K8
CHEMBL5457	O30463
CHEMBL6136	O60341
CHEMBL4191	Q99685
CHEMBL2034	P04150
CHEMBL3229	P97612
CHEMBL3774298	Q92794
CHEMBL3710	P43115
CHEMBL276	P08482
CHEMBL2434	P25025
CHEMBL2157850	Q93009
CHEMBL3242	O43570
CHEMBL3712907	P0DMS9
CHEMBL3571	P20272
CHEMBL4150	Q965D5
CHEMBL2489	P32240
CHEMBL1914	P06276
CHEMBL4835	P00338
CHEMBL4336	P30557
CHEMBL211	P08172
CHEMBL3321	Q8R431
CHEMBL4072	P07858
CHEMBL4361	Q07820
CHEMBL258	P06239
CHEMBL4979	P13866
CHEMBL206	P03372
CHEMBL1824	P04626
CHEMBL5763	P81908
CHEMBL4372	P15917
CHEMBL4462	Q8IXJ6
CHEMBL2363	Q920D2
CHEMBL4408	O95263
CHEMBL3991501	P48735
CHEMBL1916	P18825
CHEMBL1795116	O14744
CHEMBL5122	Q16832
CHEMBL3130	O00329
CHEMBL5137	Q14416
CHEMBL3969	Q9Y2D0
CHEMBL4657	Q6V1X1
CHEMBL208	P06401
CHEMBL329	P25095
CHEMBL1865	Q9UBN7
CHEMBL4029	P25024
CHEMBL2007625	O75874
CHEMBL4358	P12530
CHEMBL3048	P29476
CHEMBL2104	Q99571
CHEMBL3788	O00444
CHEMBL2411	P35563
CHEMBL1850	P21918
CHEMBL3305	P04278
CHEMBL210	P07550
CHEMBL1741208	Q96P20
CHEMBL237	P41145
CHEMBL1809	P0ABQ4
CHEMBL1947	P10828
CHEMBL5145	P15056
CHEMBL3991	P08709
