From	Entry	Gene Ontology IDs
CHEMBL3959	P16083	GO:0001512; GO:0003955; GO:0005654; GO:0005829; GO:0008270; GO:0009055; GO:0016491; GO:0016661; GO:0031404; GO:0042803; GO:0070062; GO:0071949; GO:1901662; GO:1904408; GO:1905594
CHEMBL4478	Q00975	GO:0001540; GO:0005245; GO:0005509; GO:0005524; GO:0005886; GO:0005891; GO:0007268; GO:0008331; GO:0043025; GO:0045202; GO:0050804; GO:0098703; GO:1904645
CHEMBL1944495	P28065	GO:0000502; GO:0002376; GO:0004175; GO:0004298; GO:0005634; GO:0005654; GO:0005829; GO:0005839; GO:0019774; GO:0043161; GO:0070062; GO:1990111; GO:2000116
CHEMBL3048	P29476	GO:0001666; GO:0001917; GO:0002028; GO:0004517; GO:0005516; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005829; GO:0005856; GO:0005886; GO:0006527; GO:0006809; GO:0006813; GO:0006816; GO:0006936; GO:0006941; GO:0007263; GO:0007565; GO:0008270; GO:0008285; GO:0009408; GO:0009725; GO:0010181; GO:0010243; GO:0010288; GO:0014069; GO:0014070; GO:0014823; GO:0016529; GO:0017080; GO:0018119; GO:0019899; GO:0020037; GO:0030018; GO:0030141; GO:0030315; GO:0030425; GO:0031667; GO:0031965; GO:0032496; GO:0032991; GO:0033017; GO:0033138; GO:0033197; GO:0033555; GO:0034760; GO:0035094; GO:0038060; GO:0042178; GO:0042311; GO:0042383; GO:0042582; GO:0042802; GO:0043066; GO:0043197; GO:0043267; GO:0043434; GO:0043524; GO:0043627; GO:0044305; GO:0044325; GO:0045121; GO:0045184; GO:0045202; GO:0045471; GO:0045776; GO:0045893; GO:0045906; GO:0045944; GO:0046209; GO:0046676; GO:0046870; GO:0048148; GO:0048306; GO:0048471; GO:0050660; GO:0050661; GO:0050767; GO:0051117; GO:0051219; GO:0051481; GO:0051612; GO:0051649; GO:0051926; GO:0060078; GO:0061875; GO:0070402; GO:0071260; GO:0071363; GO:0071731; GO:0071872; GO:0071879; GO:0071944; GO:0097110; GO:0098735; GO:0098924; GO:0098978; GO:0099091; GO:0099092; GO:0099163; GO:0106071; GO:1900273; GO:1902307
CHEMBL2902	P00381	GO:0004146; GO:0005829; GO:0006545; GO:0006730; GO:0031427; GO:0046452; GO:0046654; GO:0046655; GO:0046677; GO:0050661
CHEMBL5141	O43174	GO:0001822; GO:0001972; GO:0004497; GO:0005506; GO:0005789; GO:0006766; GO:0006805; GO:0008401; GO:0016125; GO:0016709; GO:0019825; GO:0020037; GO:0032526; GO:0033189; GO:0034653; GO:0042573; GO:0048387; GO:0062182; GO:0062183
CHEMBL1968	P07099	GO:0004301; GO:0005789; GO:0006805; GO:0008142; GO:0009636; GO:0014070; GO:0019369; GO:0019439; GO:0033961; GO:0097176
CHEMBL5896	O75164	GO:0000785; GO:0001650; GO:0005634; GO:0005654; GO:0005721; GO:0005829; GO:0006338; GO:0008270; GO:0010468; GO:0010507; GO:0010628; GO:0010629; GO:0014898; GO:0030263; GO:0031625; GO:0031667; GO:0032452; GO:0032454; GO:0035064; GO:0045666; GO:0045892; GO:0048712; GO:0051864; GO:0140681; GO:0140684
CHEMBL4625	Q07817	GO:0001541; GO:0001701; GO:0001836; GO:0005737; GO:0005739; GO:0005741; GO:0005743; GO:0005759; GO:0005783; GO:0005813; GO:0005829; GO:0006897; GO:0007281; GO:0007283; GO:0008584; GO:0008630; GO:0008637; GO:0009566; GO:0010507; GO:0019901; GO:0030672; GO:0031965; GO:0032465; GO:0032946; GO:0034097; GO:0035234; GO:0040008; GO:0042802; GO:0042803; GO:0043066; GO:0043524; GO:0044565; GO:0046898; GO:0046902; GO:0046982; GO:0050673; GO:0051093; GO:0051402; GO:0051434; GO:0051607; GO:0051881; GO:0071230; GO:0071312; GO:0071480; GO:0071839; GO:0090201; GO:0097048; GO:0097136; GO:0097192; GO:0097284; GO:1900118; GO:1901029; GO:1902042; GO:1902230; GO:1902236; GO:1903077; GO:2000242; GO:2000669; GO:2000811; GO:2001240; GO:2001243
CHEMBL5763	P81908	GO:0003990; GO:0004104; GO:0005615; GO:0005886; GO:0006581; GO:0019695
CHEMBL3321	Q8R431	GO:0005811; GO:0005829; GO:0006633; GO:0009966; GO:0016020; GO:0016787; GO:0019369; GO:0019433; GO:0030424; GO:0030516; GO:0042803; GO:0043196; GO:0045202; GO:0045907; GO:0046464; GO:0047372; GO:0050727; GO:0051930; GO:0052651; GO:0060292; GO:2000124
CHEMBL3510	Q9ULX7	GO:0004089; GO:0005886; GO:0006730; GO:0008270; GO:0016020; GO:0016323; GO:0016324
CHEMBL4618	P09960	GO:0003723; GO:0004177; GO:0004301; GO:0004463; GO:0005576; GO:0005634; GO:0005654; GO:0005829; GO:0006508; GO:0006629; GO:0008233; GO:0008270; GO:0010043; GO:0019370; GO:0019538; GO:0043171; GO:0043434; GO:0045148; GO:0060509; GO:0070006; GO:0070062; GO:1904724; GO:1904813
CHEMBL2575	P00378	GO:0003729; GO:0004146; GO:0005739; GO:0006545; GO:0006730; GO:0031427; GO:0046452; GO:0046653; GO:0046654; GO:0046655; GO:0050661
CHEMBL4683	Q12884	GO:0001525; GO:0002020; GO:0004175; GO:0004252; GO:0005178; GO:0005615; GO:0005737; GO:0005886; GO:0005925; GO:0006508; GO:0007155; GO:0008233; GO:0008236; GO:0008239; GO:0009986; GO:0010710; GO:0010716; GO:0016020; GO:0030027; GO:0031258; GO:0032587; GO:0042802; GO:0042803; GO:0043542; GO:0045177; GO:0045178; GO:0051603; GO:0051726; GO:0051917; GO:0060244; GO:0097325; GO:1900119; GO:1902362; GO:1903054; GO:1905368
CHEMBL3912	Q8N1Q1	GO:0004089; GO:0005737; GO:0005829; GO:0006730; GO:0008270; GO:0043209; GO:0043231
CHEMBL222	P23975	GO:0003779; GO:0005326; GO:0005328; GO:0005330; GO:0005334; GO:0005886; GO:0006836; GO:0006865; GO:0007268; GO:0008504; GO:0009410; GO:0009986; GO:0015844; GO:0015874; GO:0016020; GO:0030424; GO:0032809; GO:0035725; GO:0042734; GO:0043014; GO:0046872; GO:0048265; GO:0048487; GO:0051583; GO:0051620; GO:0070050
CHEMBL1075132	Q12931	GO:0003723; GO:0005164; GO:0005524; GO:0005654; GO:0005739; GO:0005743; GO:0005758; GO:0005759; GO:0006457; GO:0009386; GO:0016020; GO:0016887; GO:0019901; GO:0051082; GO:0061077; GO:0071944; GO:0140662; GO:1901856; GO:1903427; GO:1903751
CHEMBL3880	P07900	GO:0001764; GO:0001934; GO:0002134; GO:0002135; GO:0002218; GO:0002230; GO:0003009; GO:0003723; GO:0003729; GO:0005524; GO:0005525; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006457; GO:0006839; GO:0006986; GO:0007004; GO:0009408; GO:0009409; GO:0009410; GO:0009651; GO:0009986; GO:0010592; GO:0010659; GO:0016020; GO:0016323; GO:0016324; GO:0016887; GO:0017098; GO:0019903; GO:0023026; GO:0030235; GO:0030911; GO:0031396; GO:0031526; GO:0031625; GO:0032273; GO:0032564; GO:0032728; GO:0032880; GO:0032991; GO:0034605; GO:0034774; GO:0042026; GO:0042220; GO:0042307; GO:0042470; GO:0042802; GO:0042803; GO:0042826; GO:0042981; GO:0043025; GO:0043202; GO:0043209; GO:0043254; GO:0043335; GO:0043627; GO:0044294; GO:0044295; GO:0044325; GO:0045040; GO:0045429; GO:0045732; GO:0045793; GO:0046677; GO:0048156; GO:0048471; GO:0050821; GO:0051020; GO:0051022; GO:0051082; GO:0051131; GO:0051973; GO:0060452; GO:0061684; GO:0062023; GO:0070062; GO:0070182; GO:0071682; GO:0097110; GO:0097226; GO:0097524; GO:0097718; GO:0098586; GO:0099072; GO:0140662; GO:1902949; GO:1904813; GO:1905323; GO:1990782
CHEMBL242	Q92731	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0003677; GO:0003707; GO:0004879; GO:0005496; GO:0005634; GO:0005654; GO:0005739; GO:0006355; GO:0006357; GO:0007165; GO:0007267; GO:0008270; GO:0019899; GO:0030284; GO:0030308; GO:0030520; GO:0034056; GO:0043231; GO:0045893; GO:0045944; GO:0048019; GO:0051091; GO:0071391; GO:0071392
CHEMBL5373	P47936	GO:0004930; GO:0004949; GO:0005737; GO:0005783; GO:0005886; GO:0006954; GO:0007186; GO:0007189; GO:0019222; GO:0030425; GO:0030595; GO:0031234; GO:0032229; GO:0032496; GO:0033004; GO:0043025; GO:0043204; GO:0045759
CHEMBL1966	Q02127	GO:0004151; GO:0004152; GO:0005654; GO:0005739; GO:0005743; GO:0005829; GO:0005886; GO:0006207; GO:0006225; GO:0009220; GO:0044205; GO:0106430
CHEMBL5137	Q14416	GO:0001641; GO:0004930; GO:0005246; GO:0005886; GO:0007194; GO:0007216; GO:0007268; GO:0008066; GO:0010467; GO:0014047; GO:0014048; GO:0014059; GO:0030424; GO:0030425; GO:0035095; GO:0042220; GO:0042734; GO:0051897; GO:0051966; GO:0060292; GO:0090461; GO:0097110; GO:0097449; GO:0098978; GO:0099171; GO:2001023
CHEMBL3780	P70605	GO:0005242; GO:0005516; GO:0005737; GO:0005886; GO:0006813; GO:0016286; GO:0030175; GO:0031594; GO:0043005; GO:0043025; GO:0044297; GO:0044877; GO:0071805
CHEMBL4835	P00338	GO:0004459; GO:0005634; GO:0005739; GO:0005829; GO:0006089; GO:0006090; GO:0006096; GO:0016020; GO:0021762; GO:0042802; GO:0045296; GO:0070062; GO:1990204
CHEMBL3478	Q28156	GO:0004112; GO:0004115; GO:0019933; GO:0030553; GO:0046069; GO:0046872; GO:0047555
CHEMBL1741208	Q96P20	GO:0000139; GO:0002221; GO:0002674; GO:0002830; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005739; GO:0005783; GO:0005815; GO:0005829; GO:0006915; GO:0006952; GO:0006954; GO:0007165; GO:0007231; GO:0009595; GO:0016020; GO:0016887; GO:0030674; GO:0031021; GO:0032088; GO:0032691; GO:0032731; GO:0032753; GO:0035591; GO:0042802; GO:0042834; GO:0043280; GO:0043531; GO:0043565; GO:0044546; GO:0045087; GO:0045630; GO:0045944; GO:0050728; GO:0050729; GO:0051092; GO:0051260; GO:0051604; GO:0060090; GO:0070269; GO:0070273; GO:0071222; GO:0072559; GO:0098586; GO:0140297; GO:0140299; GO:0140608; GO:0140693; GO:1901223; GO:1901224; GO:1901981; GO:2000553
CHEMBL3571	P20272	GO:0002866; GO:0004930; GO:0004949; GO:0005737; GO:0005739; GO:0005741; GO:0005886; GO:0007186; GO:0007188; GO:0007189; GO:0007283; GO:0007413; GO:0007584; GO:0007611; GO:0007613; GO:0010976; GO:0014063; GO:0015629; GO:0019216; GO:0019222; GO:0030424; GO:0030426; GO:0031622; GO:0031999; GO:0032228; GO:0032496; GO:0033004; GO:0033602; GO:0035094; GO:0038171; GO:0042220; GO:0042593; GO:0042734; GO:0042802; GO:0043065; GO:0043271; GO:0045121; GO:0045471; GO:0045759; GO:0045776; GO:0045777; GO:0050796; GO:0051966; GO:0060135; GO:0060259; GO:0060405; GO:0098921; GO:0098978; GO:0098982; GO:0099509; GO:0099553
CHEMBL1914	P06276	GO:0001540; GO:0003824; GO:0003990; GO:0004104; GO:0005576; GO:0005615; GO:0005641; GO:0005788; GO:0005886; GO:0006581; GO:0006805; GO:0007612; GO:0008285; GO:0014016; GO:0016486; GO:0016788; GO:0019695; GO:0019899; GO:0033265; GO:0042802; GO:0043279; GO:0050783; GO:0050805; GO:0051384; GO:0051593; GO:0072562
