From	Entry
9606.ENSP00000382342	P33527
9606.ENSP00000303211	P22303
9606.ENSP00000443965	P55263
9606.ENSP00000356205	P30542
9606.ENSP00000304501	P29275
9606.ENSP00000241356	P0DMS8
9606.ENSP00000368766	P25100
9606.ENSP00000480573	P18089
9606.ENSP00000386069	P18825
9606.ENSP00000305372	P07550
9606.ENSP00000343782	P13945
9606.ENSP00000360973	P50052
9606.ENSP00000285930	P15121
9606.ENSP00000375892	P31751
9606.ENSP00000363973	P05186
9606.ENSP00000261879	Q8WW43
9606.ENSP00000475344	P35414
9606.ENSP00000284981	P05067
9606.ENSP00000287394	Q6PL18
9606.ENSP00000278616	Q13315
9606.ENSP00000299178	P37288
9606.ENSP00000318585	P56817
9606.ENSP00000264381	P06276
9606.ENSP00000381185	P10415
9606.ENSP00000365230	Q07817
9606.ENSP00000450482	P30411
9606.ENSP00000419060	P15056
9606.ENSP00000263377	O60885
9606.ENSP00000178638	O43570
9606.ENSP00000318912	Q8N1Q1
9606.ENSP00000358107	Q9ULX7
9606.ENSP00000285379	P00918
9606.ENSP00000314099	Q9Y2D0
9606.ENSP00000345659	P43166
9606.ENSP00000367608	Q16790
9606.ENSP00000360423	Q00975
9606.ENSP00000433138	P29466
9606.ENSP00000311032	P42574
9606.ENSP00000351273	Q14790
9606.ENSP00000295589	P32238
9606.ENSP00000255465	P78396
9606.ENSP00000332659	P51679
9606.ENSP00000383428	Q9BXF3
9606.ENSP00000468253	P00746
9606.ENSP00000358755	Q9BZP6
9606.ENSP00000399745	P08172
9606.ENSP00000255380	P20309
9606.ENSP00000409378	P08173
9606.ENSP00000372750	P08912
9606.ENSP00000261751	P30926
9606.ENSP00000358513	P21554
9606.ENSP00000345672	P07858
9606.ENSP00000271651	P43235
9606.ENSP00000295683	P25024
9606.ENSP00000319635	P25025
9606.ENSP00000342007	P05177
9606.ENSP00000224356	O43174
9606.ENSP00000301141	P11509
9606.ENSP00000362401	Q9Y271
9606.ENSP00000356899	Q16832
9606.ENSP00000219240	Q02127
9606.ENSP00000381657	Q8TEK3
9606.ENSP00000353731	P27487
9606.ENSP00000339208	Q6V1X1
9606.ENSP00000262960	Q86TI2
9606.ENSP00000377353	P21728
9606.ENSP00000354859	P14416
9606.ENSP00000176183	P21917
9606.ENSP00000306129	P21918
9606.ENSP00000315011	P25101
9606.ENSP00000466090	P08246
9606.ENSP00000480004	P07099
9606.ENSP00000269571	P04626
9606.ENSP00000405330	P03372
9606.ENSP00000343925	Q92731
9606.ENSP00000384851	P11474
9606.ENSP00000364709	P00742
9606.ENSP00000384957	P03951
9606.ENSP00000364731	P08709
9606.ENSP00000218099	P00740
9606.ENSP00000188790	Q12884
9606.ENSP00000346671	P06241
9606.ENSP00000362463	Q04760
9606.ENSP00000411788	Q9HC97
9606.ENSP00000450310	Q9NQS5
9606.ENSP00000378492	Q14416
9606.ENSP00000355316	Q14832
9606.ENSP00000384387	O43613
9606.ENSP00000362649	Q13547
9606.ENSP00000302967	O15379
9606.ENSP00000365804	Q9UBN7
9606.ENSP00000287936	P04035
9606.ENSP00000380247	P35367
9606.ENSP00000366506	P25021
9606.ENSP00000342560	Q9Y5N1
9606.ENSP00000335153	P07900
9606.ENSP00000358963	P28222
9606.ENSP00000363748	P28221
9606.ENSP00000437737	P28223
9606.ENSP00000347754	P46098
9606.ENSP00000353915	Q13639
9606.ENSP00000289753	P50406
9606.ENSP00000343552	O60725
9606.ENSP00000390265	O75874
9606.ENSP00000331897	P48735
9606.ENSP00000430950	P14902
9606.ENSP00000497069	P08069
9606.ENSP00000430684	O14920
9606.ENSP00000226730	P60568
9606.ENSP00000321584	P12268
9606.ENSP00000380227	P13612
9606.ENSP00000222573	P26012
9606.ENSP00000265713	Q92794
9606.ENSP00000383042	O60341
9606.ENSP00000361473	O75164
9606.ENSP00000382688	P29375
9606.ENSP00000364550	P41229
9606.ENSP00000377245	Q14145
9606.ENSP00000234371	Q969F8
9606.ENSP00000256078	P01116
9606.ENSP00000477713	P06239
9606.ENSP00000445175	P00338
9606.ENSP00000254301	P17931
9606.ENSP00000228740	P09960
9606.ENSP00000497997	Q9UDY8
9606.ENSP00000215832	P28482
9606.ENSP00000229795	Q16539
9606.ENSP00000263025	P27361
9606.ENSP00000356070	P49137
9606.ENSP00000243911	P41968
9606.ENSP00000299766	P32245
9606.ENSP00000468086	P33032
9606.ENSP00000358022	Q07820
9606.ENSP00000258149	Q00987
9606.ENSP00000325312	P50579
9606.ENSP00000265052	Q99685
9606.ENSP00000498083	Q9BUB5
9606.ENSP00000250896	Q9HBH9
9606.ENSP00000322788	P03956
9606.ENSP00000260302	P45452
9606.ENSP00000219070	P08253
9606.ENSP00000236826	P22894
9606.ENSP00000361405	P14780
9606.ENSP00000337383	Q96P20
9606.ENSP00000263317	Q9NPH5
9606.ENSP00000354652	P25929
9606.ENSP00000332591	P49146
9606.ENSP00000319788	P15559
9606.ENSP00000369822	P16083
9606.ENSP00000231509	P04150
9606.ENSP00000359532	P30989
9606.ENSP00000234961	P41143
9606.ENSP00000394624	P35372
9606.ENSP00000353032	Q99571
9606.ENSP00000310305	P41231
9606.ENSP00000250416	Q9UGN5
9606.ENSP00000370078	P27815
9606.ENSP00000342637	Q07343
9606.ENSP00000347046	O76074
9606.ENSP00000385632	Q13946
9606.ENSP00000264917	O95263
9606.ENSP00000291539	O76083
9606.ENSP00000325120	P06401
9606.ENSP00000366563	O00329
9606.ENSP00000362608	P11309
9606.ENSP00000365692	Q9P1W9
9606.ENSP00000247970	Q13526
9606.ENSP00000308938	P00747
9606.ENSP00000300093	P53350
9606.ENSP00000270861	O00444
9606.ENSP00000287820	P37231
9606.ENSP00000499089	P48147
9606.ENSP00000408695	P17252
9606.ENSP00000313420	P78527
9606.ENSP00000331879	O60678
9606.ENSP00000319169	O14744
9606.ENSP00000363993	P28065
9606.ENSP00000349003	P43115
9606.ENSP00000341189	Q05397
9606.ENSP00000442460	Q13882
9606.ENSP00000360683	P18031
9606.ENSP00000489597	Q06124
9606.ENSP00000311857	P17706
9606.ENSP00000344829	Q16769
9606.ENSP00000401888	P04049
9606.ENSP00000262241	Q9UKL0
9606.ENSP00000272190	P00797
9606.ENSP00000357494	P08922
9606.ENSP00000496438	O95136
9606.ENSP00000283254	Q9NY46
9606.ENSP00000369816	P04278
9606.ENSP00000277010	Q99720
9606.ENSP00000249396	Q8IXJ6
9606.ENSP00000278379	P43004
9606.ENSP00000266088	P13866
9606.ENSP00000327943	P31639
9606.ENSP00000219833	P23975
9606.ENSP00000270349	Q01959
9606.ENSP00000261707	P31645
9606.ENSP00000434364	Q9Y345
9606.ENSP00000263980	P19634
9606.ENSP00000301466	O75908
9606.ENSP00000469158	Q9NRA0
9606.ENSP00000293897	P35346
9606.ENSP00000389414	P24557
9606.ENSP00000444788	P48775
9606.ENSP00000367440	O95551
9606.ENSP00000379904	P10828
9606.ENSP00000358730	P0DMS9
9606.ENSP00000384964	Q8IU80
9606.ENSP00000398698	P01375
9606.ENSP00000354522	P11387
9606.ENSP00000343577	Q15661
9606.ENSP00000246957	Q12931
9606.ENSP00000459962	Q8NER1
9606.ENSP00000343535	Q93009
9606.ENSP00000351446	P61964
9606.ENSP00000368727	P47989
9606.ENSP00000462468	P07947
